customer_id,email,password_hash,name,signup_date,country,status
ed43e3e4-c1f1-4d75-b793-93eb9e03c3b4,johnsonjoshua@example.org,7a95c5f159e128a81b90fa5259790f247278280cd28a99fbaf88cbdfb98da23d,Brian Yang,2023-08-02,United States,active
2f421c92-c0fb-4f81-9376-9b29793e6552,garzaanthony@example.org,4445f6e49883d626a356c3f5eac38df8da6bc7e3b3dca5a487fe6581d6c30695,Jonathan Johnson,2021-05-16,France,active
d517e303-491e-4d0f-8240-527ee42296b1,jennifermiles@example.com,359bd27590574cda3166716737d5de83cb63ecaeead991911a132cf008e95184,Kevin Pacheco,2023-10-17,United Kingdom,active
08271e95-9b15-4dc5-b0c8-e4711fc21fee,blakeerik@example.com,01287aee0385f201d5b0b1ec230b3c5272803a7afb5814c57f5c86af7e5b74c6,Christopher Bernard,2020-03-06,United Kingdom,active
bb68309c-8f92-4c68-82a6-7e51ff8b06d5,curtis61@example.com,3c934b53f5d2f435dcf9affad0f55a1d9f3a3f7f6342da94a6f022fc01420e2e,Lindsey Roman,2022-10-31,United States,active
d954eddd-1209-4c85-8c03-4151b3f29bdb,yherrera@example.org,30dd89f93960b2ccb2af76dc0e7643327296c69c41985366923126f11e09d717,Sandra Montgomery,2024-01-06,South Korea,active
551e0ae1-a27e-44fc-a38d-b784cc88d425,barbara10@example.net,8175184fe4d4e8f58e42f85891eb18f25f9176dc601f1c3f9b2e3604f70ba741,Dylan Miller,2023-04-21,United States,active
d7435580-732d-42cf-86a2-d8818f40ec28,michellejames@example.com,5bc377ed27ea11c516714150b453284704b2f3b5c4455b0e831e673589d634f5,Holly Wood,2020-11-22,Spain,active
bf9d266e-2162-4691-811a-7528e2c21639,elizabethmiles@example.net,e8627648d30016de2fde75a3c0fda67ba73d502327db71549c4995a3dfa8cad3,Lisa Jackson,2021-03-16,Germany,active
88cc8a7f-1ce8-48fb-9a42-7ac86a577bbe,frankgray@example.net,872fd4268174ba0e8417198a14e14b9f207c658fea1f19c6becc1ebfc44bec7f,Colleen Nguyen,2020-07-17,Italy,active
de89b3e6-997a-4ab5-8023-f4c2264c6239,perezantonio@example.com,d96bbb4bd88a68324ccc1a5591e6a4afd9201297ee0e372e655dee5f42ce37ae,Austin Gentry,2024-07-10,Singapore,active
ae362399-319d-48db-9898-479ab95d6d0f,jason76@example.net,eb95dedec059e0d15dca27021d16d3cc241033a2af534cafacdefbe342b6a651,Derek Wright,2022-02-14,Denmark,active
ecc8e572-9b07-4930-a880-5b695b56561b,julie69@example.com,7a2ef89c14e683e696f6396c16fa35bc3af1629bb94d2f75af3ac7c2e04d2a56,Zachary Taylor,2023-06-20,Netherlands,active
266c14c7-c9d4-41de-9ff9-90e6c3d878fc,ddavis@example.org,9300046376396e5f6b85830d5f41aacd2f93877db908804035d51b4a1f77be31,Christopher Becker,2020-04-03,Denmark,banned
21f2ae34-11a8-48a0-911f-fc1ad62a48f0,cruzcaitlin@example.com,b68b5321745fdb045c2c469bc63c55b3847609617d62b56b236f48aa9d14aef1,Tricia Valencia,2024-10-17,Germany,active
8e2bb238-3b95-4456-bedd-a21829171aeb,frazierdanny@example.net,ba20a84d8d4224f7ca98475f91a5ee66e963c12266e65b278998dfdb3befde2a,Patricia Peterson,2022-07-17,Italy,active
0f328457-d07a-4bc0-ab31-d326f17a2525,ryan70@example.net,05ebe66950042d994caa924993dbfd1d0fb94af8e2e6813f3c8b5f05fb53700d,Deborah Mason,2021-12-28,Norway,active
